species,temperature,polyp_activity
swiftia,18,0.2662
swiftia,18.5,0.4995
swiftia,19,0.4165
swiftia,19.5,0.333
swiftia,20,0.4995
swiftia,20.5,0.333
swiftia,21,0.333
swiftia,21.5,0.416
swiftia,22,0.7164
swiftia,22.5,0.166
swiftia,23,0.333
swiftia,23.5,0.333
swiftia,24,0.166
swiftia,24.5,0.333
swiftia,25,0.5
swiftia,25.5,0.5
swiftia,26,0.5662
muricea,18,0.4998
muricea,18.5,0.4995
muricea,19,0.6665
muricea,19.5,0.6665
muricea,20,0.5
muricea,20.5,0.4995
muricea,21,0.25
muricea,21.5,0.4165
muricea,22,0.3497
muricea,22.5,0.333
muricea,23,0.166
muricea,23.5,0.333
muricea,24,0.333
muricea,24.5,0.333
muricea,25,0.666
muricea,25.5,0.166
muricea,26,0.2998
